Feature1,Feature2,Label
6.377666,7.258128,2
6.116367,7.506817,2
5.268444,7.993118,2
9.251133,5.486869,2
5.369964,8.055396,2
8.233852,5.260564,2
5.405766,5.601496,2
4.098660,4.700830,2
4.579931,4.914170,2
5.950948,6.331230,2
8.192739,4.588114,2
7.392042,5.697374,2
5.930048,6.954339,2
4.412231,6.540809,2
6.235399,6.696431,2
6.408946,9.472319,2
5.098099,5.249057,2
5.118746,5.214437,2
5.098598,7.681523,2
8.008896,5.192843,2
4.822871,6.666682,2
5.219039,6.895101,2
6.286976,3.856414,2
8.188503,8.539755,2
5.133386,5.451707,2
6.404275,6.472993,2
6.931322,8.842859,2
5.749759,4.871037,2
4.049348,4.966309,2
5.953151,8.537888,2
5.267987,6.316484,2
5.976775,7.680642,2
9.573622,5.249238,2
5.307828,7.476666,2
6.964340,8.611639,2
6.825799,5.491884,2
6.835312,7.567944,2
7.160337,6.717394,2
7.508506,7.653634,2
7.954668,6.917414,2
5.763659,6.207484,2
7.706261,4.844678,2
6.521383,5.443735,2
6.040651,7.808004,2
6.270255,6.065671,2
4.076873,7.055362,2
6.912852,9.059304,2
5.564736,6.309925,2
6.352682,8.230856,2
5.865232,6.394596,2
6.859695,6.263905,2
5.368648,6.274485,2
7.518345,4.548288,2
6.188048,5.009880,2
7.690051,3.845888,2
5.209565,6.533458,2
8.213985,5.907015,2
5.214829,8.660358,2
3.952199,2.890419,2
6.622274,5.289988,2
4.555759,7.001767,2
6.344786,5.202272,2
4.189376,7.233841,2
6.919523,5.859744,2
8.611539,4.486672,2
3.842582,5.021494,2
5.935532,6.344134,2
5.658841,6.497882,2
4.230056,8.041791,2
5.883821,7.580095,2
6.484687,6.645947,2
6.805773,6.633156,2
6.908947,7.879706,2
6.277923,7.002683,2
5.873095,8.036633,2
5.043437,8.546914,2
5.943208,3.976578,2
6.181167,5.036848,2
7.188850,5.077050,2
5.369001,3.327786,2
5.360342,2.572117,2
3.760023,7.075389,2
7.111289,6.601688,2
4.632489,5.932526,2
5.994905,4.361825,2
8.126126,7.240778,2
5.687509,6.038022,2
6.294698,3.112551,2
5.650438,5.035529,2
4.583495,5.602464,2
